policy_id,dataset_name,metric_group,primary_source_id,secondary_source_ids,selected_source_id,selection_reason,field_lineage,conflict_tolerance_policy_id,conflict_action,effective_from,effective_to,policy_version,approved_for_historical_backfill,approved_for_daily_batch,approved_for_live_signal,approved_for_public_display
SSP-001,ETF总份额,OUTSTANDING_TOTAL_SHARES,TUSHARE_FUND_SHARE,"COMMERCIAL_VENDOR,TENCENT_REALTIME",TUSHARE_FUND_SHARE,Phase0B实测DAILY_SNAPSHOT且2015起覆盖,TUSHARE_FUND_SHARE(fd_share万份),TOL-001,ACCEPT_PRIMARY,2026-08-02,,1.0,true,true,false,false
SSP-002,ETF总份额,SHARE_OBSERVATION_TIME,TUSHARE_FUND_SHARE,,TUSHARE_FUND_SHARE,份额观测时间随记录,,,ACCEPT_PRIMARY,2026-08-02,,1.0,true,true,false,false
SSP-003,ETF总份额,SHARE_UNIT_DEFINITION,REGISTRY,,REGISTRY,单位定义来自主数据,TUSHARE_FUND_SHARE(万份→份),,BLOCK_CANONICAL,2026-08-02,,1.0,true,true,false,false
SSP-004,ETF日行情,PRICE_OHLC,TUSHARE_FUND_DAILY,"TENCENT_QUOTES,SOHU_HISQ",TUSHARE_FUND_DAILY,Phase1A-C实测fund_daily OHLC可用,TUSHARE_FUND_DAILY(open/high/low/close),TOL-002,ACCEPT_PRIMARY,2026-08-02,,1.1,true,true,false,false
SSP-005,ETF日行情,VOLUME,TUSHARE_FUND_DAILY,TENCENT_QUOTES,TUSHARE_FUND_DAILY,fund_daily vol=手,fund_daily(vol),TOL-002,ACCEPT_PRIMARY,2026-08-02,,1.1,true,true,false,false
SSP-006,ETF日行情,TURNOVER_AMOUNT,TUSHARE_FUND_DAILY,"SOHU_HISQ,SZSE_RT",TUSHARE_FUND_DAILY,fund_daily amount=万元,TUSHARE_FUND_DAILY(amount),TOL-002,ACCEPT_PRIMARY,2026-08-02,,1.1,true,true,false,false
SSP-007,ETF日行情,ADJUSTMENT_FACTOR,TENCENT_QUOTES,,TENCENT_QUOTES,复权因子来自前复权K线,TENCENT_QUOTES(fqkline),,ACCEPT_PRIMARY,2026-08-02,,1.0,true,true,false,false
SSP-008,ETF日行情,TRADING_STATUS,REGISTRY,,REGISTRY,交易状态来自主数据+日历,,,ACCEPT_PRIMARY,2026-08-02,,1.0,true,true,false,false
SSP-009,ETF NAV,UNIT_NAV,TUSHARE_FUND_NAV,"EM_NAV,FUND_MANAGER_WEBSITE",TUSHARE_FUND_NAV,Phase1A-C实测fund_nav可用且含ann_date,TUSHARE_FUND_NAV(unit_nav),TOL-003,ACCEPT_PRIMARY,2026-08-02,,1.1,true,true,false,false
SSP-010,ETF NAV,ACCUMULATED_NAV,TUSHARE_FUND_NAV,EM_NAV,TUSHARE_FUND_NAV,累计净值,TUSHARE_FUND_NAV(accum_nav),TOL-003,ACCEPT_PRIMARY,2026-08-02,,1.1,true,true,false,false
SSP-011,ETF NAV,NAV_PUBLICATION_TIME,TUSHARE_FUND_NAV,,TUSHARE_FUND_NAV,ann_date=公告日提供PIT证据,TUSHARE_FUND_NAV(ann_date),TOL-003,ACCEPT_PRIMARY,2026-08-02,,1.1,true,true,false,false
SSP-012,指数,INDEX_PRICE,SOHU_HISQ,TUSHARE_INDEX,SOHU_HISQ,搜狐指数收盘已验证,SOHU_HISQ(zs_ close),TOL-004,ACCEPT_WITH_WARNING,2026-08-02,,1.0,true,true,false,false
SSP-013,指数,INDEX_TURNOVER_CANDIDATE,SOHU_HISQ,,SOHU_HISQ,语义未验证仅作候选,SOHU_HISQ(zs_ amount),TOL-004,ACCEPT_WITH_WARNING,2026-08-02,,1.0,true,true,false,false
SSP-014,指数,INDEX_COMPONENT_SCOPE,UNVERIFIED,,UNVERIFIED,成分口径未验证,UNKNOWN,,MANUAL_REVIEW_REQUIRED,2026-08-02,,1.0,false,false,false,false
SSP-015,交易日历,CALENDAR_SSE,TUSHARE_TRADE_CAL,PUBLIC_CALENDAR,TUSHARE_TRADE_CAL,SSE日历实测62开放日,TUSHARE_TRADE_CAL(cal_date),,ACCEPT_PRIMARY,2026-08-02,,1.0,true,true,false,false
SSP-016,交易日历,CALENDAR_SZSE,TUSHARE_TRADE_CAL,PUBLIC_CALENDAR,TUSHARE_TRADE_CAL,SZSE日历实测与SSE一致,TUSHARE_TRADE_CAL(cal_date),,ACCEPT_PRIMARY,2026-08-02,,1.0,true,true,false,false
